date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:40:12	85102/85102	---M-Z	200	added ('OK')	text/html	etag:%2221-1768330094;gz%22	https://livpower.in/	C:/My%20Web%20Sites/LivPower/livpower.in/index.html	(from )
01:40:12	108/108	---MCZ	200	added ('OK')	text/plain	etag:%2222-1768331706;gz%22	https://livpower.in/robots.txt		(from )
01:40:12	41838/41838	---M-Z	200	added ('OK')	text/css	etag:%22a36e-68ee8df3-eef73e57d62f92cb;gz%22	https://livpower.in/wp-content/plugins/instagram-feed/css/sbi-styles.min.css?ver=6.9.1	C:/My%20Web%20Sites/LivPower/livpower.in/wp-content/plugins/instagram-feed/css/sbi-styles.min4d80.css	(from https://livpower.in/)
01:40:12	113381/113381	---M-Z	200	added ('OK')	text/css	etag:%221bae5-661f397a-8a64fd2b2120b19c;gz%22	https://livpower.in/wp-includes/css/dist/block-library/style.min.css?ver=6.5.7	C:/My%20Web%20Sites/LivPower/livpower.in/wp-includes/css/dist/block-library/style.minb134.css	(from https://livpower.in/)
01:40:12	2947/2947	---M-Z	200	added ('OK')	text/css	etag:%22b83-68e55d84-9708d0362be9e23;gz%22	https://livpower.in/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=6.1.2	C:/My%20Web%20Sites/LivPower/livpower.in/wp-content/plugins/contact-form-7/includes/css/styles658f.css	(from https://livpower.in/)
01:40:12	4495/4495	---M-Z	200	added ('OK')	text/css	etag:%22118f-6927666b-5630a0879e89e402;gz%22	https://livpower.in/wp-content/plugins/hostinger-reach/frontend/dist/blocks/subscription.css?ver=1764189803	C:/My%20Web%20Sites/LivPower/livpower.in/wp-content/plugins/hostinger-reach/frontend/dist/blocks/subscription79a5.css	(from https://livpower.in/)
01:40:13	4193/4193	---M-Z	200	added ('OK')	text/css	etag:%221061-691d5311-3ef1d611a4a13b84;gz%22	https://livpower.in/wp-content/themes/blankslate/style.css?ver=6.5.7	C:/My%20Web%20Sites/LivPower/livpower.in/wp-content/themes/blankslate/styleb134.css	(from https://livpower.in/)
01:40:13	1602/1602	---M-Z	200	added ('OK')	application/rss+xml	etag:%22403e9018c72577fb53589b0f4c0cf107%22	https://livpower.in/comments/feed/	C:/My%20Web%20Sites/LivPower/livpower.in/comments/feed/index.html	(from https://livpower.in/)
01:40:13	13041/13041	---M-Z	200	added ('OK')	application/rss+xml	etag:%22403e9018c72577fb53589b0f4c0cf107%22	https://livpower.in/feed/	C:/My%20Web%20Sites/LivPower/livpower.in/feed/index.html	(from https://livpower.in/)
01:40:13	87553/87553	---M-Z	200	added ('OK')	application/x-javascript	etag:%2215601-661f397a-7446060870dc063e;gz%22	https://livpower.in/wp-includes/js/jquery/jquery.min.js?ver=3.7.1	C:/My%20Web%20Sites/LivPower/livpower.in/wp-includes/js/jquery/jquery.minf43b.js	(from https://livpower.in/)
01:40:13	13577/13577	---M-Z	200	added ('OK')	application/x-javascript	etag:%223509-661f397a-342004fed876bec7;gz%22	https://livpower.in/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1	C:/My%20Web%20Sites/LivPower/livpower.in/wp-includes/js/jquery/jquery-migrate.min5589.js	(from https://livpower.in/)
01:40:14	1481/1481	---M-Z	200	added ('OK')	application/json	date:Wed,%2014%20Jan%202026%2020:10:13%20GMT	https://livpower.in/wp-json/wp/v2/pages/6	C:/My%20Web%20Sites/LivPower/livpower.in/wp-json/wp/v2/pages/6.json	(from https://livpower.in/)
01:40:14	197920/197920	---MCZ	200	added ('OK')	application/json	etag:%2250-1768421413;gz%22	https://livpower.in/wp-json/	C:/My%20Web%20Sites/LivPower/livpower.in/wp-json/index.html	(from https://livpower.in/)
01:40:14	780/780	---M-Z	200	added ('OK')	text/xml	date:Wed,%2014%20Jan%202026%2020:10:13%20GMT	https://livpower.in/xmlrpc.php?rsd	C:/My%20Web%20Sites/LivPower/livpower.in/xmlrpc0db0.php	(from https://livpower.in/)
01:40:14	2101/2101	---M-Z	200	added ('OK')	application/json	etag:%2251-1768421413;gz%22	https://livpower.in/wp-json/oembed/1.0/embed?url=https%3A%2F%2Flivpower.in%2F	C:/My%20Web%20Sites/LivPower/livpower.in/wp-json/oembed/1.0/embed2f48.json	(from https://livpower.in/)
01:40:14	2260/2260	---M-Z	200	added ('OK')	text/xml	etag:%2252-1768421414;gz%22	https://livpower.in/wp-json/oembed/1.0/embed?url=https%3A%2F%2Flivpower.in%2F&format=xml	C:/My%20Web%20Sites/LivPower/livpower.in/wp-json/oembed/1.0/embed1681	(from https://livpower.in/)
01:40:15	232803/232803	---M-Z	200	added ('OK')	text/css	etag:%2238d63-666c85a7-3c1bda6a9d1472d4;gz%22	https://livpower.in/wp-content/themes/blankslate/assets/css/bootstrap.min.css?v=566	C:/My%20Web%20Sites/LivPower/livpower.in/wp-content/themes/blankslate/assets/css/bootstrap.min9940.css	(from https://livpower.in/)
01:40:15	34969/34969	---M-Z	200	added ('OK')	text/css	etag:%228899-68f4ddb0-b43ada0ba41e6194;gz%22	https://livpower.in/wp-content/themes/blankslate/assets/css/main.css?v=588a	C:/My%20Web%20Sites/LivPower/livpower.in/wp-content/themes/blankslate/assets/css/main3478.css	(from https://livpower.in/)
01:40:15	15362/15362	---M-Z	200	added ('OK')	text/css	etag:%223c02-68f4dbb3-4b6aead69a259633;gz%22	https://livpower.in/wp-content/themes/blankslate/assets/css/style.css?v=qqa68	C:/My%20Web%20Sites/LivPower/livpower.in/wp-content/themes/blankslate/assets/css/style1be3.css	(from https://livpower.in/)
